pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,type
XO-7 b,0.04421,0.00062,-0.00062,0.0,1.48,0.022,-0.022,0.0,6250.0,100.0,-100.0,0.0,hot
Kepler-798 b,0.118,,,0.0,1.156,0.604,-0.143,0.0,6428.0,143.0,-255.0,0.0,hot
Kepler-1218 b,0.164,,,0.0,1.22,0.52,-0.52,0.0,6282.0,91.0,-91.0,0.0,hot
Kepler-616 d,0.2749,,,0.0,0.977,0.385,-0.087,0.0,6004.0,158.0,-197.0,0.0,hot
Kepler-1239 b,0.0626,,,0.0,1.137,0.692,-0.126,0.0,6343.0,162.0,-270.0,0.0,hot
Kepler-1449 b,0.1176,,,0.0,1.155,0.751,-0.128,0.0,6269.0,154.0,-230.0,0.0,hot
Kepler-530 b,0.2186,,,0.0,1.051,0.356,-0.167,0.0,5957.0,158.0,-161.0,0.0,hot
HD 10180 e,0.2699,0.0043,-0.0043,0.0,1.109,0.036,-0.036,0.0,5911.0,19.0,-19.0,0.0,hot
TOI-6651 b,0.0633,0.00078,-0.00072,0.0,1.721,0.065,-0.062,0.0,5940.0,110.0,-110.0,0.0,hot
Kepler-1375 b,0.0445,,,0.0,1.207,0.749,-0.181,0.0,6277.0,158.0,-206.0,0.0,hot
Kepler-1569 b,0.064,,,0.0,1.087,0.545,-0.123,0.0,6185.0,155.0,-197.0,0.0,hot
Kepler-1677 b,0.1634,,,0.0,1.145,0.67,-0.131,0.0,6215.0,153.0,-202.0,0.0,hot
Kepler-279 c,0.2191,,,0.0,1.067,0.426,-0.102,0.0,6781.0,157.0,-230.0,0.0,hot
Kepler-300 c,0.2293,,,0.0,0.881,0.339,-0.068,0.0,5968.0,157.0,-162.0,0.0,hot
Kepler-1212 b,0.1082,,,0.0,0.938,0.355,-0.087,0.0,6119.0,158.0,-192.0,0.0,hot
Kepler-1201 b,0.1183,,,0.0,1.005,0.373,-0.123,0.0,6136.0,170.0,-196.0,0.0,hot
Kepler-1952 b,0.1724,,,0.0,1.305,0.186,-0.205,0.0,5973.0,116.0,-115.0,0.0,hot
WASP-168 b,0.0519,0.0008,-0.0008,0.0,1.12,0.06,-0.06,0.0,6000.0,100.0,-100.0,0.0,hot
Kepler-1473 b,0.116,,,0.0,1.04,0.193,-0.084,0.0,5929.0,111.0,-124.0,0.0,hot
Kepler-1163 b,0.0679,,,0.0,1.112,0.533,-0.12,0.0,6444.0,141.0,-204.0,0.0,hot
